,Compound Name,Physical Parameter,Dimensions,Temporal Shape,Spatial Shape,Cell Methods,Cell Measures,Dimensions (from Spatial Shape),Dimensions (from Temporal Shape),CMIP7_branded_variable_name
930,Emon.fDeforestToAtmos,fDeforestToAtmos,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fDeforestToAtmos_ti-u-hxy-lnd
931,Emon.fDeforestToProduct,fDeforestToProduct,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fDeforestToProduct_ti-u-hxy-lnd
932,Emon.fFireAll,fFireAll,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fFireAll_ti-u-hxy-lnd
933,Emon.fFireNat,fFireNat,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fFireNat_ti-u-hxy-lnd
934,Emon.fg14co2,fg14co2,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,fg14co2_ti-u-hxy-sea
935,Emon.fHarvestToAtmos,fHarvestToAtmos,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fHarvestToAtmos_ti-u-hxy-lnd
936,Emon.fHarvestToProduct,fHarvestToProduct,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fHarvestToProduct_ti-u-hxy-lnd
937,Emon.flandice,flandice,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,flandice_ti-u-hxy-sea
938,Emon.flashrate,flashrate,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,flashrate_ti-u-hxy-u
939,Emon.fLitterFire,fLitterFire,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fLitterFire_ti-u-hxy-lnd
940,Emon.fLuc,fLuc,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fLuc_ti-u-hxy-lnd
941,Emon.fLulccAtmLut,fLulccAtmLut,"longitude, latitude, landUse, time",time-intv,Global field (single level),area: time: mean where sector,area: areacella,"longitude,latitude",time,fLulccAtmLut_ti-u-hxy-lus
942,Emon.fN2O,fN2O,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fN2O_ti-u-hxy-lnd
943,Emon.fNAnthDisturb,fNAnthDisturb,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNAnthDisturb_ti-u-hxy-lnd
944,Emon.fNdep,fNdep,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNdep_ti-u-hxy-lnd
945,Emon.fNfert,fNfert,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNfert_ti-u-hxy-lnd
946,Emon.fNgas,fNgas,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNgas_ti-u-hxy-lnd
947,Emon.fNgasFire,fNgasFire,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNgasFire_ti-u-hxy-lnd
948,Emon.fNgasNonFire,fNgasNonFire,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNgasNonFire_ti-u-hxy-lnd
949,Emon.fNLandToOcean,fNLandToOcean,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNLandToOcean_ti-u-hxy-lnd
950,Emon.fNleach,fNleach,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNleach_ti-u-hxy-lnd
951,Emon.fNLitterSoil,fNLitterSoil,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNLitterSoil_ti-u-hxy-lnd
952,Emon.fNloss,fNloss,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNloss_ti-u-hxy-lnd
953,Emon.fNnetmin,fNnetmin,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNnetmin_ti-u-hxy-lnd
954,Emon.fNOx,fNOx,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNOx_ti-u-hxy-lnd
955,Emon.fNProduct,fNProduct,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNProduct_ti-u-hxy-lnd
956,Emon.fNup,fNup,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNup_ti-u-hxy-lnd
957,Emon.fNVegLitter,fNVegLitter,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNVegLitter_ti-u-hxy-lnd
958,Emon.fNVegSoil,fNVegSoil,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fNVegSoil_ti-u-hxy-lnd
959,Emon.fProductDecomp,fProductDecomp,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fProductDecomp_ti-u-hxy-lnd
960,Emon.fracLut,fracLut,"longitude, latitude, landUse, time",time-intv,Global field (single level),area: mean where land over all_area_types time: mean,area: areacella,"longitude,latitude",time,fracLut_ti-u-hxy-lnd
961,Emon.fVegFire,fVegFire,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fVegFire_ti-u-hxy-lnd
962,Emon.fVegLitterMortality,fVegLitterMortality,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fVegLitterMortality_ti-u-hxy-lnd
963,Emon.fVegLitterSenescence,fVegLitterSenescence,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fVegLitterSenescence_ti-u-hxy-lnd
964,Emon.fVegSoilMortality,fVegSoilMortality,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fVegSoilMortality_ti-u-hxy-lnd
965,Emon.fVegSoilSenescence,fVegSoilSenescence,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,fVegSoilSenescence_ti-u-hxy-lnd
966,Emon.gppc13,gppc13,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,gppc13_ti-u-hxy-lnd
967,Emon.gppc14,gppc14,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,gppc14_ti-u-hxy-lnd
968,Emon.gppGrass,gppGrass,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where natural_grasses (comment: mask=grassFrac),area: areacella,"longitude,latitude",time,gppGrass_ti-u-hxy-ng
969,Emon.gppLut,gppLut,"longitude, latitude, landUse, time",time-intv,Global field (single level),area: time: mean where sector,area: areacella,"longitude,latitude",time,gppLut_ti-u-hxy-lus
970,Emon.gppShrub,gppShrub,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where shrubs (comment: mask=shrubFrac),area: areacella,"longitude,latitude",time,gppShrub_ti-u-hxy-shb
971,Emon.gppTree,gppTree,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where trees (comment: mask=treeFrac),area: areacella,"longitude,latitude",time,gppTree_ti-u-hxy-tree
972,Emon.grassFracC3,grassFracC3,"longitude, latitude, time, typec3natg",time-intv,Global field (single level),area: mean where land over all_area_types time: mean,area: areacella,"longitude,latitude",time,grassFracC3_ti-u-hxy-lnd
973,Emon.grassFracC4,grassFracC4,"longitude, latitude, time, typec4natg",time-intv,Global field (single level),area: mean where land over all_area_types time: mean,area: areacella,"longitude,latitude",time,grassFracC4_ti-u-hxy-lnd
974,Emon.hflsLut,hflsLut,"longitude, latitude, landUse, time",time-intv,Global field (single level),area: time: mean where sector,area: areacella,"longitude,latitude",time,hflsLut_ti-u-hxy-lus
975,Emon.hfssLut,hfssLut,"longitude, latitude, landUse, time",time-intv,Global field (single level),area: time: mean where sector,area: areacella,"longitude,latitude",time,hfssLut_ti-u-hxy-lus
976,Emon.intuadse,intuadse,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,intuadse_ti-u-hxy-u
977,Emon.intuaw,intuaw,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,intuaw_ti-u-hxy-u
978,Emon.intvadse,intvadse,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,intvadse_ti-u-hxy-u
979,Emon.intvaw,intvaw,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,intvaw_ti-u-hxy-u
980,Emon.irrLut,irrLut,"longitude, latitude, landUse, time",time-intv,Global field (single level),area: time: mean where sector,area: areacella,"longitude,latitude",time,irrLut_ti-u-hxy-lus
981,Emon.jpdftaureicemodis,jpdftaureicemodis,"longitude, latitude, effectRadIc, tau, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,jpdftaureicemodis_ti-u-hxy-u
982,Emon.jpdftaureliqmodis,jpdftaureliqmodis,"longitude, latitude, effectRadLi, tau, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,jpdftaureliqmodis_ti-u-hxy-u
983,Emon.laiLut,laiLut,"longitude, latitude, landUse, time",time-intv,Global field (single level),area: time: mean where sector,area: areacella,"longitude,latitude",time,laiLut_ti-u-hxy-lus
984,Emon.loadso4,loadso4,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,loadso4_ti-u-hxy-u
985,Emon.mrsfl,mrsfl,"longitude, latitude, sdepth, time",time-intv,Global field on soil levels,area: mean where land time: mean,area: areacella,"longitude,latitude,sdepth",time,mrsfl_ti-l-hxy-lnd
986,Emon.mrsll,mrsll,"longitude, latitude, sdepth, time",time-intv,Global field on soil levels,area: mean where land time: mean,area: areacella,"longitude,latitude,sdepth",time,mrsll_ti-l-hxy-lnd
987,Emon.mrsol,mrsol,"longitude, latitude, sdepth, time",time-intv,Global field on soil levels,area: mean where land time: mean,area: areacella,"longitude,latitude,sdepth",time,mrsol_ti-l-hxy-lnd
988,Emon.mrsosLut,mrsosLut,"longitude, latitude, landUse, time, sdepth1",time-intv,Global field (single level),area: time: mean where sector,area: areacella,"longitude,latitude",time,mrsosLut_ti-z10cm-hxy-lus
989,Emon.mrtws,mrtws,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,mrtws_ti-u-hxy-lnd
990,Emon.necbLut,necbLut,"longitude, latitude, landUse, time",time-intv,Global field (single level),area: time: mean where sector,area: areacella,"longitude,latitude",time,necbLut_ti-u-hxy-lus
991,Emon.nep,nep,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nep_ti-u-hxy-lnd
992,Emon.netAtmosLandC13Flux,netAtmosLandC13Flux,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,netAtmosLandC13Flux_ti-u-hxy-lnd
993,Emon.netAtmosLandC14Flux,netAtmosLandC14Flux,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,netAtmosLandC14Flux_ti-u-hxy-lnd
994,Emon.netAtmosLandCO2Flux,netAtmosLandCO2Flux,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,netAtmosLandCO2Flux_ti-u-hxy-lnd
995,Emon.nLand,nLand,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nLand_ti-u-hxy-lnd
996,Emon.nLeaf,nLeaf,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nLeaf_ti-u-hxy-lnd
997,Emon.nLitter,nLitter,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nLitter_ti-u-hxy-lnd
998,Emon.nLitterCwd,nLitterCwd,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nLitterCwd_ti-u-hxy-lnd
999,Emon.nLitterSubSurf,nLitterSubSurf,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nLitterSubSurf_ti-u-hxy-lnd
1000,Emon.nLitterSurf,nLitterSurf,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nLitterSurf_ti-u-hxy-lnd
1001,Emon.nMineral,nMineral,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nMineral_ti-u-hxy-lnd
1002,Emon.nMineralNH4,nMineralNH4,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nMineralNH4_ti-u-hxy-lnd
1003,Emon.nMineralNO3,nMineralNO3,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nMineralNO3_ti-u-hxy-lnd
1004,Emon.nOther,nOther,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nOther_ti-u-hxy-lnd
1005,Emon.nppGrass,nppGrass,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where natural_grasses (comment: mask=grassFrac),area: areacella,"longitude,latitude",time,nppGrass_ti-u-hxy-ng
1006,Emon.nppLut,nppLut,"longitude, latitude, landUse, time",time-intv,Global field (single level),area: time: mean where sector,area: areacella,"longitude,latitude",time,nppLut_ti-u-hxy-lus
1007,Emon.nppOther,nppOther,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nppOther_ti-u-hxy-lnd
1008,Emon.nppShrub,nppShrub,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where shrubs (comment: mask=shrubFrac),area: areacella,"longitude,latitude",time,nppShrub_ti-u-hxy-shb
1009,Emon.nppStem,nppStem,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nppStem_ti-u-hxy-lnd
1010,Emon.nppTree,nppTree,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where trees (comment: mask=treeFrac),area: areacella,"longitude,latitude",time,nppTree_ti-u-hxy-tree
1011,Emon.nProduct,nProduct,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nProduct_ti-u-hxy-lnd
1012,Emon.nRoot,nRoot,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nRoot_ti-u-hxy-lnd
1013,Emon.nSoil,nSoil,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nSoil_ti-u-hxy-lnd
1014,Emon.nStem,nStem,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nStem_ti-u-hxy-lnd
1015,Emon.nVeg,nVeg,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,nVeg_ti-u-hxy-lnd
1016,Emon.osaltpsmadvect,osaltpsmadvect,"longitude, latitude, olevel, time",time-intv,Global ocean field on model levels,area: mean where sea time: mean,area: areacello volume: volcello,"longitude,latitude,olevel",time,osaltpsmadvect_ti-l-hxy-sea
1017,Emon.parasolRefl,parasolRefl,"longitude, latitude, sza5, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacella,"longitude,latitude",time,parasolRefl_ti-u-hxy-sea
1018,Emon.pastureFracC3,pastureFracC3,"longitude, latitude, time, typec3pastures",time-intv,Global field (single level),area: mean where land over all_area_types time: mean,area: areacella,"longitude,latitude",time,pastureFracC3_ti-u-hxy-lnd
1019,Emon.pastureFracC4,pastureFracC4,"longitude, latitude, time, typec4pastures",time-intv,Global field (single level),area: mean where land over all_area_types time: mean,area: areacella,"longitude,latitude",time,pastureFracC4_ti-u-hxy-lnd
1020,Emon.pr2h,pr2h,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,pr2h_ti-u-hxy-u
1021,Emon.pr17O,pr17O,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,pr17O_ti-u-hxy-u
1022,Emon.pr18O,pr18O,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,pr18O_ti-u-hxy-u
1023,Emon.prhmax,prhmax,"longitude, latitude, time",time-intv,Global field (single level),area: mean time: maximum,area: areacella,"longitude,latitude",time,prhmax_tstat-u-hxy-u
1024,Emon.prsn2h,prsn2h,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,prsn2h_ti-u-hxy-u
1025,Emon.prsn18O,prsn18O,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,prsn18O_ti-u-hxy-u
1026,Emon.rac13,rac13,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,rac13_ti-u-hxy-lnd
1027,Emon.rac14,rac14,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,rac14_ti-u-hxy-lnd
1028,Emon.raGrass,raGrass,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where natural_grasses (comment: mask=grassFrac),area: areacella,"longitude,latitude",time,raGrass_ti-u-hxy-ng
1029,Emon.raLeaf,raLeaf,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,raLeaf_ti-u-hxy-lnd
1030,Emon.raLut,raLut,"longitude, latitude, landUse, time",time-intv,Global field (single level),area: time: mean where sector,area: areacella,"longitude,latitude",time,raLut_ti-u-hxy-lus
1031,Emon.raOther,raOther,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,raOther_ti-u-hxy-lnd
1032,Emon.raRoot,raRoot,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,raRoot_ti-u-hxy-lnd
1033,Emon.raShrub,raShrub,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where shrubs (comment: mask=shrubFrac),area: areacella,"longitude,latitude",time,raShrub_ti-u-hxy-shb
1034,Emon.raStem,raStem,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,raStem_ti-u-hxy-lnd
1035,Emon.raTree,raTree,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where trees (comment: mask=treeFrac),area: areacella,"longitude,latitude",time,raTree_ti-u-hxy-tree
1036,Emon.reffcclwtop,reffcclwtop,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where convective_cloud (weighted by total convective cloud area),area: areacella,"longitude,latitude",time,reffcclwtop_ti-u-hxy-ccl
1037,Emon.reffccwctop,reffccwctop,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,reffccwctop_ti-u-hxy-u
1038,Emon.reffclic,reffclic,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean where convective_cloud (weighted by total convective cloud area),area: areacella,"longitude,latitude,alevel",time,reffclic_ti-l-hxy-ccl
1039,Emon.reffclis,reffclis,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean where stratiform_cloud (weighted by total stratiform cloud area),area: areacella,"longitude,latitude,alevel",time,reffclis_ti-l-hxy-scl
1040,Emon.reffclwc,reffclwc,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean where convective_cloud (weighted by total convective cloud area),area: areacella,"longitude,latitude,alevel",time,reffclwc_ti-l-hxy-ccl
1041,Emon.reffclws,reffclws,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean where stratiform_cloud (weighted by total stratiform cloud area),area: areacella,"longitude,latitude,alevel",time,reffclws_ti-l-hxy-scl
1042,Emon.reffsclwtop,reffsclwtop,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where stratiform_cloud (weighted by total stratiform cloud area),area: areacella,"longitude,latitude",time,reffsclwtop_ti-u-hxy-scl
1043,Emon.rhc13,rhc13,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,rhc13_ti-u-hxy-lnd
1044,Emon.rhc14,rhc14,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,rhc14_ti-u-hxy-lnd
1045,Emon.rhGrass,rhGrass,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where natural_grasses (comment: mask=grassFrac),area: areacella,"longitude,latitude",time,rhGrass_ti-u-hxy-ng
1046,Emon.rhLitter,rhLitter,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,rhLitter_ti-u-hxy-lnd
1047,Emon.rhLut,rhLut,"longitude, latitude, landUse, time",time-intv,Global field (single level),area: time: mean where sector,area: areacella,"longitude,latitude",time,rhLut_ti-u-hxy-lus
1048,Emon.rhShrub,rhShrub,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where shrubs (comment: mask=shrubFrac),area: areacella,"longitude,latitude",time,rhShrub_ti-u-hxy-shb
1049,Emon.rhSoil,rhSoil,"longitude, latitude, time",time-intv,Global field (single level),area: mean where land time: mean,area: areacella,"longitude,latitude",time,rhSoil_ti-u-hxy-lnd
1050,Emon.rhTree,rhTree,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where trees (comment: mask=treeFrac),area: areacella,"longitude,latitude",time,rhTree_ti-u-hxy-tree
1051,Emon.rls,rls,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rls_ti-u-hxy-u
1052,Emon.rsdsis,rsdsis,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where ice_sheet,area: areacella,"longitude,latitude",time,rsdsis_ti-u-hxy-is
1053,Emon.rsdslni,rsdslni,"longitude, latitude, time",time-intv,Global field (single level),"""area: time: mean where unfrozen_soil (at the surface, but frozen below zero isotherm)""",area: areacella,"longitude,latitude",time,rsdslni_ti-u-hxy-ufs
1054,Emon.rsdsoni,rsdsoni,"longitude, latitude, time",time-intv,Global field (single level),area: depth: time: mean,area: areacello,"longitude,latitude",time,rsdsoni_ti-u-hxy-u
1055,Emon.rsdss,rsdss,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where snow (comment: mask=snc),"area: areacella,area: areacello","longitude,latitude",time,rsdss_ti-u-hxy-sn
1056,Emon.rsdssi,rsdssi,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where sea_ice (comment: mask=siconc),area: areacello,"longitude,latitude",time,rsdssi_ti-u-hxy-si
1057,Emon.rss,rss,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rss_ti-u-hxy-u
1058,Emon.rsusis,rsusis,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where ice_sheet,area: areacella,"longitude,latitude",time,rsusis_ti-u-hxy-is
1059,Emon.rsuslni,rsuslni,"longitude, latitude, time",time-intv,Global field (single level),"""area: time: mean where unfrozen_soil (at the surface, but frozen below zero isotherm)""",area: areacella,"longitude,latitude",time,rsuslni_ti-u-hxy-ufs
1060,Emon.rsusoni,rsusoni,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacello,"longitude,latitude",time,rsusoni_ti-u-hxy-u
1061,Emon.rsuss,rsuss,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where snow (comment: mask=snc),"area: areacella,area: areacello","longitude,latitude",time,rsuss_ti-u-hxy-sn
1062,Emon.rsussi,rsussi,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where sea_ice (comment: mask=siconc),area: areacello,"longitude,latitude",time,rsussi_ti-u-hxy-si
1063,Emon.scldncl,scldncl,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,scldncl_ti-u-hxy-u
1064,Emon.sfcWindmax,sfcWindmax,"longitude, latitude, time2, height10m",climatology,Global field (single level),area: mean time: maximum within days time: mean over days,area: areacella,"longitude,latitude",time2,sfcWindmax_tstat-h10m-hxy-u
1065,Emon.sw2H,sw2H,"longitude, latitude, olevel, time",time-intv,Global ocean field on model levels,area: mean where sea time: mean,area: areacello volume: volcello,"longitude,latitude,olevel",time,sw2H_ti-l-hxy-sea
1066,Emon.sw17O,sw17O,"longitude, latitude, olevel, time",time-intv,Global ocean field on model levels,area: mean where sea time: mean,area: areacello volume: volcello,"longitude,latitude,olevel",time,sw17O_ti-l-hxy-sea
1067,Emon.sw18O,sw18O,"longitude, latitude, olevel, time",time-intv,Global ocean field on model levels,area: time: mean,area: areacello,"longitude,latitude,olevel",time,sw18O_ti-l-hxy-u
1068,Emon.sweLut,sweLut,"longitude, latitude, landUse, time",time-intv,Global field (single level),area: time: mean where sector,area: areacella,"longitude,latitude",time,sweLut_ti-u-hxy-lus
1069,Emon.t17d,t17d,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,t17d_ti-u-hxy-sea
1070,Emon.t20d,t20d,"longitude, latitude, time",time-intv,Global field (single level),area: mean where sea time: mean,area: areacello,"longitude,latitude",time,t20d_ti-u-hxy-sea
1071,Emon.tasLut,tasLut,"longitude, latitude, landUse, time, height2m",time-intv,Global field (single level),area: time: mean where sector,area: areacella,"longitude,latitude",time,tasLut_ti-h2m-hxy-lus
1072,Emon.tauunoegw,tauunoegw,"longitude, latitude, plev19, time",time-intv,Global field (19 pressure levels),area: time: mean where air,area: areacella,"longitude,latitude,plev19",time,tauunoegw_ti-p19-hxy-air
1073,Emon.tauunowgw,tauunowgw,"longitude, latitude, plev19, time",time-intv,Global field (19 pressure levels),area: time: mean where air,area: areacella,"longitude,latitude,plev19",time,tauunowgw_ti-p19-hxy-air
1074,Emon.tauuogw,tauuogw,"longitude, latitude, plev19, time",time-intv,Global field (19 pressure levels),area: time: mean where air,area: areacella,"longitude,latitude,plev19",time,tauuogw_ti-p19-hxy-air
1075,Emon.tauvnogw,tauvnogw,"longitude, latitude, plev19, time",time-intv,Global field (19 pressure levels),area: time: mean where air,area: areacella,"longitude,latitude,plev19",time,tauvnogw_ti-p19-hxy-air
1076,Emon.tauvogw,tauvogw,"longitude, latitude, plev19, time",time-intv,Global field (19 pressure levels),area: time: mean where air,area: areacella,"longitude,latitude,plev19",time,tauvogw_ti-p19-hxy-air
1077,Emon.tdps,tdps,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,tdps_ti-u-hxy-u
1078,Emon.thetaot,thetaot,"longitude, latitude, time",time-intv,Global field (single level),area: depth: time: mean where sea,area: areacello,"longitude,latitude",time,thetaot_ti-u-hxy-sea
