,Compound Name,Physical Parameter,Dimensions,Temporal Shape,Spatial Shape,Cell Methods,Cell Measures,Dimensions (from Spatial Shape),Dimensions (from Temporal Shape),CMIP7_branded_variable_name
463,CF3hr.rldscs,rldscs,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,rldscs_ti-u-hxy-u
464,CF3hr.rlut,rlut,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,rlut_ti-u-hxy-u
465,CF3hr.rlutcs,rlutcs,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,rlutcs_ti-u-hxy-u
466,CF3hr.rsds,rsds,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,rsds_ti-u-hxy-u
467,CF3hr.rsdscs,rsdscs,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,rsdscs_ti-u-hxy-u
468,CF3hr.rsut,rsut,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,rsut_ti-u-hxy-u
469,CF3hr.rsutcs,rsutcs,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,rsutcs_ti-u-hxy-u
470,CF3hr.ta,ta,"longitude, latitude, alevel, time1",time-point,Global field on model atmosphere levels,area: mean time: point,area: areacella,"longitude,latitude,alevel",time1,ta_ti-l-hxy-u
471,CF3hr.ts,ts,"longitude, latitude, time1",time-point,Global field (single level),area: mean time: point,area: areacella,"longitude,latitude",time1,ts_ti-u-hxy-u
472,CFday.albisccp,albisccp,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where cloud,area: areacella,"longitude,latitude",time,albisccp_ti-u-hxy-cl
473,CFday.ccb,ccb,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where convective_cloud (weighted by total convective cloud area),area: areacella,"longitude,latitude",time,ccb_ti-u-hxy-ccl
474,CFday.cct,cct,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where convective_cloud (weighted by total convective cloud area),area: areacella,"longitude,latitude",time,cct_ti-u-hxy-ccl
475,CFday.cl,cl,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,cl_ti-l-hxy-u
476,CFday.clcalipso,clcalipso,"longitude, latitude, alt40, time",time-intv,Global field on 40 altitude levels,area: time: mean where air,area: areacella,"longitude,latitude,alt40",time,clcalipso_ti-h40-hxy-air
477,CFday.clhcalipso,clhcalipso,"longitude, latitude, time, p220",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,clhcalipso_ti-220hPa-hxy-air
478,CFday.cli,cli,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,cli_ti-l-hxy-u
479,CFday.clisccp,clisccp,"longitude, latitude, plev7c, tau, time",time-intv,Global field (7 pressure levels),area: time: mean where air,area: areacella,"longitude,latitude,plev7c",time,clisccp_ti-p7c-hxy-air
480,CFday.clivi,clivi,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,clivi_ti-u-hxy-u
481,CFday.cllcalipso,cllcalipso,"longitude, latitude, time, p840",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,cllcalipso_ti-840hPa-hxy-air
482,CFday.clmcalipso,clmcalipso,"longitude, latitude, time, p560",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,clmcalipso_ti-560hPa-hxy-air
483,CFday.cltcalipso,cltcalipso,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,cltcalipso_ti-u-hxy-u
484,CFday.cltisccp,cltisccp,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,cltisccp_ti-u-hxy-u
485,CFday.clw,clw,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,clw_ti-l-hxy-u
486,CFday.clwvi,clwvi,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,clwvi_ti-u-hxy-u
487,CFday.hur,hur,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,hur_ti-l-hxy-u
488,CFday.hur700,hur700,"longitude, latitude, time, p700",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,hur700_ti-700hPa-hxy-u
489,CFday.hus,hus,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,hus_ti-l-hxy-u
490,CFday.mc,mc,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,mc_ti-l-hxy-u
491,CFday.pctisccp,pctisccp,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where cloud,area: areacella,"longitude,latitude",time,pctisccp_ti-u-hxy-cl
492,CFday.pfull,pfull,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,pfull_ti-l-hxy-u
493,CFday.phalf,phalf,"longitude, latitude, alevhalf, time",time-intv,Global field on model atmosphere half-levels,area: time: mean,area: areacella,"longitude,latitude,alevhalf",time,phalf_ti-l-hxy-u
494,CFday.ps,ps,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,ps_ti-u-hxy-u
495,CFday.rldscs,rldscs,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rldscs_ti-u-hxy-u
496,CFday.rlutcs,rlutcs,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rlutcs_ti-u-hxy-u
497,CFday.rsdscs,rsdscs,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rsdscs_ti-u-hxy-u
498,CFday.rsdt,rsdt,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rsdt_ti-u-hxy-u
499,CFday.rsuscs,rsuscs,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rsuscs_ti-u-hxy-u
500,CFday.rsut,rsut,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rsut_ti-u-hxy-u
501,CFday.rsutcs,rsutcs,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,rsutcs_ti-u-hxy-u
502,CFday.ta,ta,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,ta_ti-l-hxy-u
503,CFday.ta700,ta700,"longitude, latitude, time, p700",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,ta700_ti-700hPa-hxy-air
504,CFday.ua,ua,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,ua_ti-l-hxy-u
505,CFday.va,va,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,va_ti-l-hxy-u
506,CFday.wap,wap,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,wap_ti-l-hxy-u
507,CFday.wap500,wap500,"longitude, latitude, time, p500",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,wap500_ti-500hPa-hxy-air
508,CFday.zg,zg,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,zg_ti-l-hxy-u
509,CFmon.albisccp,albisccp,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean where cloud,area: areacella,"longitude,latitude",time,albisccp_ti-u-hxy-cl
510,CFmon.clc,clc,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,clc_ti-l-hxy-u
511,CFmon.clcalipso,clcalipso,"longitude, latitude, alt40, time",time-intv,Global field on 40 altitude levels,area: time: mean where air,area: areacella,"longitude,latitude,alt40",time,clcalipso_ti-h40-hxy-air
512,CFmon.clhcalipso,clhcalipso,"longitude, latitude, time, p220",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,clhcalipso_ti-220hPa-hxy-air
513,CFmon.clic,clic,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,clic_ti-l-hxy-u
514,CFmon.clis,clis,"longitude, latitude, alevel, time",time-intv,Global field on model atmosphere levels,area: time: mean,area: areacella,"longitude,latitude,alevel",time,clis_ti-l-hxy-u
515,CFmon.clisccp,clisccp,"longitude, latitude, plev7c, tau, time",time-intv,Global field (7 pressure levels),area: time: mean where air,area: areacella,"longitude,latitude,plev7c",time,clisccp_ti-p7c-hxy-air
516,CFmon.clivimodis,clivimodis,"longitude, latitude, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,clivimodis_ti-u-hxy-u
517,CFmon.cllcalipso,cllcalipso,"longitude, latitude, time, p840",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,cllcalipso_ti-840hPa-hxy-air
518,CFmon.clmcalipso,clmcalipso,"longitude, latitude, time, p560",time-intv,Global field (single level),area: time: mean where air,area: areacella,"longitude,latitude",time,clmcalipso_ti-560hPa-hxy-air
519,CFmon.clmodis,clmodis,"longitude, latitude, plev7c, tau, time",time-intv,Global field (7 pressure levels),area: time: mean where air,area: areacella,"longitude,latitude,plev7c",time,clmodis_ti-p7c-hxy-air
520,CFmon.clmodisice,clmodisice,"longitude, latitude, plev7c, tau, time",time-intv,Global field (7 pressure levels),area: time: mean where air,area: areacella,"longitude,latitude,plev7c",time,clmodisice_ti-p7c-hxy-air
521,CFmon.clmodisiceReff,clmodisiceReff,"longitude, latitude, effectRadIc, tau, time",time-intv,Global field (single level),area: time: mean,area: areacella,"longitude,latitude",time,clmodisiceReff_ti-u-hxy-u
