variable_names,cell_methods,dimensions,branded_label-spreadsheet,branded_label-following_spreadsheet,matching
clt,area: mean time: point,longitude latitude time1,clt_tpt-z0-hxy-x,clt_tpt-z0-hxy-x,True
clt,area: time: mean,longitude latitude time,clt_tavg-z0-hxy-x,clt_tavg-z0-hxy-x,True
clt,area: mean where land time: mean,longitude latitude time,clt_tavg-z0-hxy-lnd,clt_tavg-z0-hxy-lnd,True
clt,area: time: mean,longitude latitude time,clt_tavg-z0-hxy-x,clt_tavg-z0-hxy-x,True
clt,area: point time: point,site time1,clt_tpt-z0-hxys-x,clt_tpt-z0-hxys-x,True
cltcalipso,area: mean time: point,longitude latitude time1,cltcalipso_tpt-z0-hxy-x,cltcalipso_tpt-z0-hxy-x,True
cltcalipso,area: time: mean,longitude latitude time,cltcalipso_tavg-z0-hxy-x,cltcalipso_tavg-z0-hxy-x,True
cltcalipso,area: time: mean,longitude latitude time,cltcalipso_tavg-z0-hxy-x,cltcalipso_tavg-z0-hxy-x,True
cltisccp,area: time: mean,longitude latitude time,cltisccp_tavg-z0-hxy-x,cltisccp_tavg-z0-hxy-x,True
cltisccp,area: time: mean,longitude latitude time,cltisccp_tavg-z0-hxy-x,cltisccp_tavg-z0-hxy-x,True
cltmodis,area: time: mean,longitude latitude time,cltmodis_tavg-z0-hxy-x,cltmodis_tavg-z0-hxy-x,True
cl,area: time: mean,longitude latitude alevel time,cl_tavg-l-hxy-x,cl_tavg-l-hxy-x,True
cl,area: time: mean,longitude latitude alevel time,cl_tavg-l-hxy-x,cl_tavg-l-hxy-x,True
cl,area: point time: point,alevel site time1,cl_tpt-l-hxys-x,cl_tpt-l-hxys-x,True
clcalipso,area: mean where air time: point,longitude latitude alt40 time1,clcalipso_tpt-h40-hxy-air,clcalipso_tpt-h40-hxy-air,True
clcalipso,area: time: mean where air,longitude latitude alt40 time,clcalipso_tavg-h40-hxy-air,clcalipso_tavg-h40-hxy-air,True
clcalipso,area: time: mean where air,longitude latitude alt40 time,clcalipso_tavg-h40-hxy-air,clcalipso_tavg-h40-hxy-air,True
clcalipso2,area: mean where air time: point,longitude latitude alt40 time1,clcalipso2_tpt-h40-hxy-air,clcalipso2_tpt-h40-hxy-air,True
clcalipso,area: time: mean where air,longitude latitude time1 p220,clcalipso_tpt-p0220-hxy-air,clcalipso_tpt-p0220-hxy-air,True
clcalipso,area: time: mean where air,longitude latitude time p220,clcalipso_tavg-p0220-hxy-air,clcalipso_tavg-p0220-hxy-air,True
clcalipso,area: time: mean where air,longitude latitude time p220,clcalipso_tavg-p0220-hxy-air,clcalipso_tavg-p0220-hxy-air,True
clisccp,area: mean where air time: point,longitude latitude plev7c tau time1,clisccp_tpt-p7c-hxy-air,clisccp_tpt-p7c-hxy-air,True
clisccp,area: time: mean where air,longitude latitude plev7c tau time,clisccp_tavg-p7c-hxy-air,clisccp_tavg-p7c-hxy-air,True
clisccp,area: time: mean where air,longitude latitude plev7c tau time,clisccp_tavg-p7c-hxy-air,clisccp_tavg-p7c-hxy-air,True
clcalipso,area: mean where air time: point,longitude latitude time1 p840,clcalipso_tpt-p0840-hxy-air,clcalipso_tpt-p0840-hxy-air,True
clcalipso,area: time: mean where air,longitude latitude time p840,clcalipso_tavg-p0840-hxy-air,clcalipso_tavg-p0840-hxy-air,True
clcalipso,area: time: mean where air,longitude latitude time p840,clcalipso_tavg-p0840-hxy-air,clcalipso_tavg-p0840-hxy-air,True
clcalipso,area: mean where air time: point,longitude latitude time1 p560,clcalipso_tpt-p0560-hxy-air,clcalipso_tpt-p0560-hxy-air,True
clcalipso,area: time: mean where air,longitude latitude time p560,clcalipso_tavg-p0560-hxy-air,clcalipso_tavg-p0560-hxy-air,True
clcalipso,area: time: mean where air,longitude latitude time p560,clcalipso_tavg-p0560-hxy-air,clcalipso_tavg-p0560-hxy-air,True
clmisr,area: mean where air time: point,longitude latitude alt16 tau time1,clmisr_tpt-h16-hxy-air,clmisr_tpt-h16-hxy-air,True
clmisr,area: time: mean where air,longitude latitude alt16 tau time,clmisr_tavg-h16-hxy-air,clmisr_tavg-h16-hxy-air,True
clicemodis,area: mean time: point,longitude latitude effectRadIc tau time1,clicemodis_tpt-z0-hxy-x,clicemodis_tpt-z0-hxy-x,True
clicemodis,area: time: mean,longitude latitude effectRadIc tau time,clicemodis_tavg-z0-hxy-x,clicemodis_tavg-z0-hxy-x,True
clicemodis,area: time: mean,longitude latitude effectRadIc tau time,clicemodis_tavg-z0-hxy-x,clicemodis_tavg-z0-hxy-x,True
clliqmodis,area: mean time: point,longitude latitude effectRadLi tau time1,clliqmodis_tpt-z0-hxy-x,clliqmodis_tpt-z0-hxy-x,True
clliqmodis,area: time: mean,longitude latitude effectRadLi tau time,clliqmodis_tavg-z0-hxy-x,clliqmodis_tavg-z0-hxy-x,True
clliqmodis,area: time: mean,longitude latitude effectRadLi tau time,clliqmodis_tavg-z0-hxy-x,clliqmodis_tavg-z0-hxy-x,True
cldicemxrat,area: mean where air time: point,longitude latitude plev27 time1,cldicemxrat_tpt-p27-hxy-air,cldicemxrat_tpt-p27-hxy-air,True
cldicemxrat,area: time: mean where air,longitude latitude plev27 time,cldicemxrat_tavg-p27-hxy-air,cldicemxrat_tavg-p27-hxy-air,True
cldwatmxrat,area: mean where air time: point,longitude latitude plev27 time1,cldwatmxrat_tpt-p27-hxy-air,cldwatmxrat_tpt-p27-hxy-air,True
cldwatmxrat,area: mean time: mean where air,longitude latitude plev27 time,cldwatmxrat_tavg-p27-hxy-air,cldwatmxrat_tavg-p27-hxy-air,True
sicompstren,area: time: mean where sea_ice,longitude latitude time,sicompstren_tavg-z0-hxy-si,sicompstren_tavg-z0-hxy-si,True
ci,area: mean time: point,longitude latitude time1,ci_tpt-z0-hxy-x,ci_tpt-z0-hxy-x,True
ci,area: time: mean,longitude latitude time,ci_tavg-z0-hxy-x,ci_tavg-z0-hxy-x,True
ci,area: point time: point,site time1,ci_tpt-z0-hxys-x,ci_tpt-z0-hxys-x,True
cltc,area: mean time: point,longitude latitude time1,cltc_tpt-z0-hxy-x,cltc_tpt-z0-hxy-x,True
cltc,area: time: mean,longitude latitude time,cltc_tavg-z0-hxy-x,cltc_tavg-z0-hxy-x,True
clc,area: mean time: point,longitude latitude alevel time1,clc_tpt-l-hxy-x,clc_tpt-l-hxy-x,True
clc,area: time: mean,longitude latitude alevel time,clc_tavg-l-hxy-x,clc_tavg-l-hxy-x,True
demc,area: mean where cloud time: point,longitude latitude alevel time1,demc_tpt-l-hxy-cl,demc_tpt-l-hxy-cl,True
prc,area: time: mean,longitude latitude time,prc_tavg-z0-hxy-x,prc_tavg-z0-hxy-x,True
